episode,reward,loss
0,-8.302479505673142,3.571677e-05
1,-6.460529245449296,5.1099345e-05
2,-8.896239215857486,6.638236e-05
3,-8.128054776787788,4.6636605e-06
4,-8.683974782773255,6.479025e-05
5,-7.828332744935742,9.7986805e-05
6,-8.093097717640974,0.0001388126
7,-9.437546284735506,4.2380125e-05
8,-10.187769861557518,6.937671e-05
9,-10.000135485034676,9.6666816e-05
10,-9.676737141706345,3.9247243e-05
11,-7.423817858548466,9.503721e-05
12,-9.658414950001683,3.4933364e-05
13,-10.248982534806032,0.00012959701
14,-6.099095096181818,5.0866103e-05
15,-4.950270658530844,8.496274e-05
16,-7.788226688516318,0.00020575817
17,-4.924118281618623,0.00014700103
18,-6.081286497158629,0.0001557341
19,-8.242849513021431,3.49078e-05
20,-9.391625031834481,0.00027786617
21,-8.812353947515687,0.00010057415
22,-7.994598427040823,5.203554e-05
23,-6.123673854760255,0.00022324816
24,-9.168237886928136,2.5822566e-05
25,-5.524590094641884,7.24172e-05
26,-6.03677901910588,0.00019142684
27,-4.460410101996985,2.9610826e-05
28,-3.944938032830904,0.00019548199
29,-3.084603114584422,0.0001269764
30,-2.6634642080582878,0.00021645134
31,-0.12284528150359265,0.00015042978
32,-4.242085058800301,0.00030019408
33,-6.542539090252642,0.0005643701
34,-9.1283329124321,0.0001075428
35,-9.282068983748873,0.00037514736
36,-6.7243444351480495,0.00023270224
37,-8.534189664897273,0.00028596737
38,-7.188822907890267,0.00021457468
39,-5.524401723341328,0.00025375438
40,-0.12682415121699342,0.00017865785
41,-0.12350757654902533,0.00019397604
42,-0.11343714774869317,0.00022504567
43,-3.5522725488849414,0.00035959916
44,-0.12082511149808076,0.00017319391
45,-4.642287097375897,0.00064052985
46,-2.6745534204365033,0.0005656015
47,-0.12318282259899599,0.00015787619
48,-0.11683346412367433,0.00077752734
49,-0.11424653456933535,0.0006373005
50,-0.11231749354752019,0.0003272561
51,-0.11179284879610964,0.0012090108
52,-3.990957539068779,0.001739398
53,-8.375599726450996,0.0005471334
54,-5.203239279482029,0.00046366954
55,-9.942829660371032,0.0017813095
56,-6.197948024772114,0.003307524
57,-5.252325314552718,0.0005423783
58,-7.851548374668027,0.001017006
59,-5.692198193445452,0.00058837596
60,-5.712848818012576,0.0004448953
61,-8.704190185822423,0.0017106571
62,-7.556981710919966,0.0018014563
63,-1.1403547291572333,0.0021843724
64,-3.123550059376398,0.0039602793
65,-0.11279862602391601,0.00051401247
66,-2.9877792218087182,0.00075488456
67,-4.054589411434735,0.00065011997
68,-0.11440060983642715,0.00049517816
69,-6.056910105880295,0.0015115616
70,-5.5367755140511115,0.0018994927
71,-5.659892715496317,0.0003504685
72,-5.657405653909601,0.0009336765
73,-6.9510993338330795,0.0011236063
74,-6.462381504386653,0.0012951412
75,-5.521570876151354,0.0009973651
76,-5.597386421406918,0.00092945993
77,-6.550525952200046,0.0036818876
78,-7.799434627550284,0.00051066955
79,-8.263146002790165,0.0010790324
80,-7.1139809949098485,0.0021566264
81,-9.533619139046051,0.0017629687
82,-5.673959014427287,0.0012898038
83,-5.903663527846123,0.0027491653
84,-4.855356052219572,0.007452864
85,-0.11311941905986508,0.0028755106
86,-5.8818536029986985,0.0077719036
87,-5.784283551968138,0.0012121117
88,-7.230387687927344,0.0008998581
89,-5.796608420715555,0.0032641417
90,-6.414762162363153,0.005453163
91,-5.8000936679025425,0.008153569
92,-5.761405297475354,0.00073894334
93,-5.702775766545219,0.0030737368
94,-0.11389873454191006,0.003580541
95,-5.654064971757707,0.0032237135
96,-7.388941445870234,0.005999813
97,-3.7724078614105725,0.0036285098
98,-0.1144056118631396,0.006349122
99,-3.421313713049812,0.0007356811
100,-4.419660869689622,0.00115733
101,-3.5866039485792367,0.004026423
102,-5.468049067357917,0.0049071973
103,-3.2737288893362253,0.00506723
104,-0.11182528445891683,0.010568465
105,-0.11265019848895885,0.012494649
106,-0.11263683647302425,0.00065613893
107,-5.702006362777873,0.004059918
108,-6.6712830960350455,0.0023433284
109,-8.70673447608222,0.019138396
110,-8.100117368439284,0.0057058907
111,-8.154146641221157,0.005322973
112,-7.50006751887385,0.0012158513
113,-2.898987851977441,0.004810031
114,-0.11611260170087517,0.0031665456
115,-0.11764809138912065,0.002595145
116,-5.175483779957908,0.0041284524
117,-3.290601169594064,0.00067554007
118,-3.40840999444861,0.009874842
119,-0.11630779337253346,0.0023681233
120,-0.11705783143201218,0.000911221
121,-2.745274498777185,0.0040517887
122,-6.387225590069465,0.007863098
123,-8.309013579212632,0.0018045809
124,-7.399329745454007,0.010801154
125,-7.026342211786591,0.0043413388
126,-5.223907756339004,0.010361314
127,-6.5936194480691634,0.008809042
128,-8.151221898446035,0.0031637996
129,-7.615579810109726,0.002331145
130,-5.051658220125661,0.007944158
131,-4.850448362954585,0.0011072152
132,-5.891846854240885,0.0027851583
133,-7.839414363283915,0.011991646
134,-6.997937459307333,0.014485214
135,-7.784919173254633,0.0014869072
136,-8.667962748159482,0.00058199884
137,-8.839921622503779,0.0018266484
138,-5.888080192433276,0.0046860524
139,-8.102699782056943,0.011705106
140,-8.191600759655802,0.00352612
141,-8.435994869936666,0.0057310746
142,-9.134126773410154,0.0018753876
143,-10.762947242260314,0.0010811905
144,-10.00605316718662,0.014426045
145,-9.237224066164098,0.0041793305
146,-7.112151887003993,0.0017313643
147,-7.097234930976719,0.0021849463
148,-5.50796989530647,0.0027753443
149,-2.6699918035862504,0.0033664065
150,-0.11389806463447967,0.0036706673
151,-1.9862170919338908,0.00092236645
152,-0.11540389437468143,0.0054058023
153,-0.11306500975932932,0.019314261
154,-2.9579323178638384,0.005410729
155,-2.6057289683127935,0.0058345892
156,-5.03284532625559,0.0012659107
157,-5.959319231297414,0.0054798573
158,-0.11428880843300927,0.003046717
159,-8.472022030326594,0.009888836
160,-6.002519797469618,0.0021863298
161,-6.112993315804404,0.0010687392
162,-8.293241366516055,0.0020775003
163,-6.0027529711955445,0.0022772986
164,-5.67205236795522,0.0043694116
165,-3.1107204411315057,0.0048095966
166,-6.878399223567827,0.009880198
167,-0.5438139066781317,0.018065143
168,-7.531498566594393,0.009750725
169,-0.1185911840629913,0.0044720685
170,-3.185126289494209,0.01000596
171,-2.6523046446213074,0.07489917
172,-6.142687780620903,0.012169328
173,-6.014549293895492,0.006378052
174,-10.776104683249601,0.004065796
175,-10.743180887879834,0.008638349
176,-10.775128838459933,0.01477559
177,-10.145110427302397,0.0043151136
178,-6.382603404467217,0.023684679
179,-6.418037064413973,0.0091964565
180,-5.3996637400706655,0.04129726
181,-0.11602047182161294,0.011818755
182,-5.653706118009741,0.0032797814
183,-5.490653437924784,0.006962657
184,-9.08467050830187,0.006813841
185,-7.958816304851435,0.0050062193
186,-8.980960584450507,0.008451617
187,-9.007666178328362,0.020850461
188,-7.882163056719805,0.010900937
189,-8.88896725373813,0.030115139
190,-7.813032281451451,0.035028577
191,-8.920321154902538,0.0073285326
192,-9.029583665749277,0.0046744384
193,-7.431500003646851,0.054358013
194,-6.794871422072069,0.0017061869
195,-8.850511669166071,0.0032576127
196,-7.165235963042168,0.0037668431
197,-8.742837087486638,0.0010142414
198,-8.794129031081642,0.0018120293
