episode,reward,loss,len,e
0,-10.298351012261476,48.840553,2,1.0
1,-18.7339819678646,161.69864,18,0.98
2,19.340181499408,54.284134,5,0.9604
3,-10,25.234035,1,0.941192
4,-10.875661001167876,125.72478,6,0.92236816
5,-12.50856369948028,116.839935,7,0.9039207968
6,-13.002780241816751,254.33699,18,0.885842380864
7,-13.419685455025324,111.35922,13,0.868125533247
8,-10,17.269592,1,0.850763022582
9,-14.249520922154788,210.90393,18,0.83374776213
10,-18.193719313197278,184.63304,17,0.817072806888
11,19.899307433874956,28.314312,2,0.80073135075
12,-10,22.71444,1,0.784716723735
13,-10,19.043543,1,0.76902238926
14,-11.137444860200386,73.14864,5,0.753641941475
15,-17.505971384183756,184.35696,13,0.738569102645
16,-10,18.595892,1,0.723797720592
17,-18.14432677677749,345.48605,25,0.709321766181
18,-10.948412676504699,59.074043,6,0.695135330857
19,-11.110702440695528,57.685074,5,0.68123262424
20,-12.52861303204799,117.51948,13,0.667607971755
21,-12.600235035486232,85.62722,10,0.65425581232
22,-10.617904327246356,25.941664,3,0.641170696074
23,-10.468532283248946,52.171112,4,0.628347282152
24,19.701904043662573,51.483448,4,0.615780336509
25,-15.874570356309922,137.34428,9,0.603464729779
26,-10.315619946905432,30.461508,2,0.591395435183
27,-18.154389933951222,225.34517,25,0.57956752648
28,-17.017471885906517,124.22269,10,0.56797617595
29,-15.887830816236677,375.88974,30,0.556616652431
30,-25.856999707792248,213.95195,24,0.545484319382
31,-14.290382681310987,218.74207,23,0.534574632995
32,-12.750916817871078,108.83292,11,0.523883140335
33,-11.167923014706155,57.78381,7,0.513405477528
34,-10,5.4928975,1,0.503137367978
35,-10.508866266954623,14.273006,2,0.493074620618
36,-11.031844001343252,67.57869,8,0.483213128206
37,-14.896495254791484,184.98322,20,0.473548865642
38,-12.5783955352731,105.60296,10,0.464077888329
39,-13.16489374561497,155.00758,16,0.454796330562
40,-15.539289334761303,127.4609,14,0.445700403951
41,18.603435076065114,65.35837,7,0.436786395872
42,-14.5336107849226,52.847908,7,0.428050667954
43,-12.457620715038628,127.25063,8,0.419489654595
44,-13.376906219161185,155.43971,15,0.411099861503
45,-26.813372268456995,268.06177,30,0.402877864273
46,-11.143983457487861,87.44512,8,0.394820306988
47,-10,11.485927,1,0.386923900848
48,-11.500849435861147,79.97888,5,0.379185422831
49,-23.703626936160518,231.36714,24,0.371601714375
50,-17.175733957522752,145.4898,16,0.364169680087
51,-16.02151542627195,201.7428,20,0.356886286485
52,-11.512626162780922,53.99177,8,0.349748560756
53,-15.749990885544118,140.34431,11,0.342753589541
54,-21.6369654462485,271.7795,30,0.33589851775
55,-13.44608122402022,105.01359,15,0.329180547395
56,-25.82954166949323,289.2314,28,0.322596936447
57,-19.852172188286726,172.34686,25,0.316144997718
58,-23.30567565538699,230.00172,30,0.309822097764
59,-16.413793438189668,101.43283,14,0.303625655808
60,-10.424050691343352,3.4734135,2,0.297553142692
61,-16.78476026236791,119.137985,17,0.291602079838
62,-26.353340012623892,131.34697,24,0.285770038242
63,-24.90934241991245,208.45876,30,0.280054637477
64,-28.45654848015753,266.35925,30,0.274453544727
65,-30.73510297505585,267.27988,30,0.268964473833
66,-22.391344624346587,209.47723,30,0.263585184356
67,-15.857712525168658,123.03037,23,0.258313480669
68,-10.868335309284397,46.00009,6,0.253147211055
69,16.149024652478243,132.39888,22,0.248084266834
70,-20.616828614935052,258.35294,30,0.243122581498
71,-18.97760073115097,232.27829,29,0.238260129868
72,-12.452009978080486,56.38301,9,0.23349492727
73,-10,9.422045,1,0.228825028725
74,-11.12128855748119,25.141266,7,0.22424852815
75,-10,6.7817926,1,0.219763557587
76,-21.891024940888457,251.18726,30,0.215368286436
77,-24.33640522431054,134.0813,23,0.211060920707
78,-18.75481959170128,178.52615,26,0.206839702293
79,-18.77921054017091,207.26526,30,0.202702908247
80,-17.794321582657197,208.49318,30,0.198648850082
81,-16.743463231669466,199.29845,30,0.19467587308
82,-17.92178460349864,182.21054,30,0.190782355619
83,-17.20455914753922,83.60111,11,0.186966708506
84,-10.589938660483018,33.80339,4,0.183227374336
85,-20.799756034894457,156.34596,30,0.17956282685
86,-13.304899075919057,66.60175,11,0.175971570313
87,-18.106919930554906,201.47449,30,0.172452138906
88,20,5.638819,1,0.169003096128
89,-10,0.59951293,1,0.165623034206
90,-10.577334890753086,29.33274,3,0.162310573522
91,-11.699345612587324,35.9052,7,0.159064362051
92,-11.267179432853089,32.522427,5,0.15588307481
93,-19.780317415594997,168.96533,30,0.152765413314
94,-14.293832012894246,164.44049,15,0.149710105048
95,-15.664668761040849,149.008,13,0.146715902947
96,-14.752439965256245,65.88451,10,0.143781584888
97,-10.679193343810363,21.413937,4,0.14090595319
98,-16.11233515644559,176.63435,30,0.138087834126
99,-11.292143459385654,60.824062,7,0.135326077444
100,12.546348905047985,108.93505,16,0.132619555895
101,-16.738647257182087,171.6815,30,0.129967164777
102,-18.611572708362175,206.33052,30,0.127367821481
103,-15.72749762570594,220.14354,30,0.124820465052
104,-17.743567797828398,145.10573,16,0.122324055751
