episode,reward,loss,len,e
0,-15.341528813279297,8.190288,13,1.0
1,-12.559987759824944,36.833366,8,0.95
2,-13.743044906853306,74.23839,15,0.9025
3,-11.231719013625574,35.51033,5,0.857375
4,-10,11.322445,1,0.81450625
5,-10,11.780717,1,0.7737809375
6,-10.4273441244627,26.898907,3,0.735091890625
7,-14.723722596878268,169.42625,20,0.698337296094
8,-10.223475166884784,15.78032,2,0.663420431289
9,-10.940379699162722,26.886223,4,0.630249409725
10,-10.830036885893328,19.226654,3,0.598736939238
11,17.451035417288193,99.23202,10,0.568800092276
12,-12.969639502824023,197.71805,14,0.540360087663
13,19.213074082880283,61.18141,5,0.51334208328
14,-11.61488637391492,126.24636,10,0.487674979116
15,-11.63254109526762,86.35761,5,0.46329123016
16,-13.36213320240657,101.658615,8,0.440126668652
17,-11.293170414496837,96.175476,5,0.418120335219
18,-10.891930771036266,39.615433,5,0.397214318458
19,-18.413287173728396,236.85219,17,0.377353602535
20,-10,20.120129,1,0.358485922409
21,-14.62940266651693,210.63509,9,0.340561626288
22,-13.717179392295536,97.55906,9,0.323533544974
23,-11.166315818810897,109.2991,7,0.307356867725
24,-10,19.596146,1,0.291989024339
25,-11.160308375629441,113.546326,7,0.277389573122
26,-10,12.926238,1,0.263520094466
27,-10.368340625879913,43.448586,3,0.250344089742
28,19.42445468508171,84.043816,5,0.237826885255
29,-12.513200884705975,134.599,9,0.225935540993
30,-10.614611256954138,82.66699,3,0.214638763943
31,-13.48821551887054,157.25601,10,0.203906825746
32,-15.18989932593118,289.7262,20,0.193711484459
33,-15.48559326606337,215.27098,17,0.184025910236
34,-13.68905723202952,233.07408,20,0.174824614724
35,-11.48380064939826,121.72113,8,0.166083383988
36,-12.421262979775173,224.45741,20,0.157779214788
37,-10.31578620045545,46.028862,2,0.149890254049
38,-13.82650721531678,283.5149,20,0.142395741346
39,-16.023796419681673,231.23547,20,0.135275954279
40,-14.622987777499088,209.44873,20,0.128512156565
41,-15.993950100753203,223.06885,20,0.122086548737
42,-12.475750102851126,233.69366,20,0.1159822213
43,-10.98033317858966,47.820824,4,0.110183110235
44,-10.609287069528454,38.13567,3,0.104673954723
45,-10.616623699818541,38.26329,3,0.0994402569871
46,-10.612019636428181,35.051636,3,0.0944682441377
47,-10.617651580713018,43.434807,3,0.0897448319309
48,-16.005433856948287,230.66809,20,0.0852575903343
49,-14.896563427542812,277.7013,20,0.0809947108176
50,18.506421186063175,81.79853,7,0.0769449752767
51,-11.15502568558824,76.08186,7,0.0730977265129
52,-11.163169103983671,86.86256,7,0.0694428401872
53,-11.163455378437135,73.90744,7,0.0659706981779
54,-11.385829327724034,103.55949,8,0.062672163269
55,-14.233882304539538,236.90717,20,0.0595385551055
56,-16.02198019233681,286.58292,20,0.0565616273503
57,-12.311512396797797,110.35177,8,0.0537335459827
58,-11.171410753904286,64.504906,7,0.0510468686836
59,-11.163925368104548,93.948616,7,0.0484945252494
60,-11.163504423993697,84.76814,7,0.046069798987
61,-11.160181686118875,82.41075,7,0.0437663090376
62,-10,20.330172,1,0.0415779935857
63,-11.172568923455536,80.02985,7,0.0394990939064
64,-12.12777490608196,186.89336,20,0.0375241392111
65,-16.843432244849325,189.68233,20,0.0356479322506
