episode,reward,loss,len,e
0,-13.353466080932936,15.972292,6,1.0
1,-10.100596524424072,32.54517,2,0.995
2,-10,27.869545,1,0.990025
3,-10.313800782120836,68.57784,3,0.985074875
4,-12.57625740961189,111.000916,10,0.980149500625
5,-11.975400376557204,69.28027,7,0.975248753122
6,-11.646689825039914,71.26359,7,0.970372509356
7,-23.09891946096709,175.20813,19,0.965520646809
8,-17.516827519374903,252.224,30,0.960693043575
9,-16.09415442516849,109.632256,15,0.955889578358
10,-17.059767558104987,137.90543,19,0.951110130466
11,-10,10.637873,1,0.946354579813
12,-10.139931104042955,12.866552,2,0.941622806914
13,-15.592638516328101,155.27519,20,0.93691469288
14,-14.618825731707517,77.609856,10,0.932230119415
15,-12.1461862738631,74.64515,9,0.927568968818
16,-10,6.0791645,1,0.922931123974
17,-11.383654804316185,72.10944,10,0.918316468354
18,-14.323462716443887,63.22034,8,0.913724886013
19,-10.670952965595143,38.31894,5,0.909156261583
20,-10,7.9277616,1,0.904610480275
21,-11.94771398659254,67.364716,10,0.900087427873
22,-15.443489176465704,103.845985,16,0.895586990734
23,-10.44068713355125,35.769363,4,0.89110905578
24,-15.779615933636489,84.890396,13,0.886653510501
25,-10,9.962501,1,0.882220242949
26,-10,11.669173,1,0.877809141734
27,-12.783221279712851,50.455044,7,0.873420096025
28,-10.72807998496367,46.935734,5,0.869052995545
29,-11.616205928621131,56.376717,7,0.864707730568
30,-12.001479924487139,43.682194,6,0.860384191915
31,-10,4.110717,1,0.856082270955
32,-16.316702110185737,99.32615,13,0.8518018596
33,-23.872330251923497,148.12021,23,0.847542850302
34,-23.610252665417626,140.36827,20,0.843305136051
35,-10.17196177804363,9.62804,2,0.839088610371
36,-14.420457756070054,118.42937,16,0.834893167319
37,-10.609059473851545,12.095745,2,0.830718701482
38,-14.135925392186342,63.91362,10,0.826565107975
39,-13.66455741299522,60.754448,9,0.822432282435
40,-10.50858368703953,10.83336,2,0.818320121023
41,-11.628385523035144,57.498665,9,0.814228520418
42,-12.72024501855688,87.440155,10,0.810157377815
43,-10.100020223707704,12.229887,2,0.806106590926
44,-16.549323824911454,202.3019,30,0.802076057972
45,19.79994169102532,15.563458,3,0.798065677682
46,-13.380443386879511,110.43599,11,0.794075349293
