episode,reward,loss,len,e
64,-13.125015853857999,141.38226,13,0.0375241392111
65,-16.80559217909922,118.9922,20,0.0356479322506
66,-14.689809154390272,176.4977,16,0.033865535638
67,-11.005003242740566,33.283974,5,0.0321722588561
68,16.589573422267648,214.75385,19,0.0305636459133
69,-16.48309347844372,93.0593,11,0.0290354636177
70,-10.800396105960218,53.5471,6,0.0275836904368
71,-10.3632352100039,23.036665,3,0.0262045059149
72,-17.331239074586634,141.97704,20,0.0248942806192
73,-19.39889511903702,123.56433,14,0.0236495665882
74,-18.849305714603535,118.27572,13,0.0224670882588
75,-22.390025245553222,136.80264,20,0.0213437338459
76,16.309827794789552,93.8411,13,0.0202765471536
77,19.53446673404144,43.533722,4,0.0192627197959
78,19.54198278759629,32.682003,4,0.0182995838061
79,-19.400663046806585,194.62624,20,0.0173846046158
80,18.49759377438533,71.130844,9,0.016515374385
81,18.974002468203505,60.98025,6,0.0156896056658
82,-11.55891404703921,77.836716,10,0.0149051253825
83,-17.10001343935408,169.57982,20,0.0141598691134
84,17.33292527366991,127.437965,17,0.0134518756577
85,18.980659467056007,97.53908,6,0.0127792818748
86,18.483463979832276,38.321148,8,0.0121403177811
87,-17.099801643915608,184.95193,20,0.011533301892
88,18.827754188746315,44.07793,6,0.0109566367974
89,18.84388459145341,42.42346,6,0.0104088049575
90,-16.862165959773495,120.5091,20,0.00988836470966
91,19.030185572649838,36.859776,6,0.00988836470966
92,-10.769941507092046,19.198725,4,0.00988836470966
93,-19.53325486717064,165.4068,20,0.00988836470966
94,18.158682999689574,58.349525,8,0.00988836470966
95,18.101399858068998,93.20218,9,0.00988836470966
96,18.963796018138904,37.321163,6,0.00988836470966
97,19.541749142482434,36.409016,4,0.00988836470966
98,-12.46488625485219,59.392902,12,0.00988836470966
99,18.83696397231021,77.4918,6,0.00988836470966
100,-16.612341066251293,137.2018,20,0.00988836470966
101,-13.895236245769961,159.75089,18,0.00988836470966
102,-15.508577686510774,135.8628,20,0.00988836470966
103,19.535897244180806,17.264376,4,0.00988836470966
104,-14.000063298893561,44.37928,9,0.00988836470966
105,-16.83009687936192,206.84909,20,0.00988836470966
106,17.844357678944707,80.487305,12,0.00988836470966
107,19.5392070482584,25.780615,4,0.00988836470966
108,19.541446444910463,48.80938,4,0.00988836470966
109,19.166296721022793,61.666508,6,0.00988836470966
110,18.98698594806628,44.959694,6,0.00988836470966
111,18.95704675067094,63.373375,6,0.00988836470966
112,17.383946367606285,160.81645,18,0.00988836470966
113,-12.745675843936482,189.87408,20,0.00988836470966
114,18.20166237046464,90.84892,11,0.00988836470966
115,18.843016402818275,30.734612,6,0.00988836470966
116,-18.186988027911944,154.45923,20,0.00988836470966
117,-12.574237440770967,132.30241,14,0.00988836470966
118,19.526050942709897,51.324543,4,0.00988836470966
119,19.542310698905577,34.12965,4,0.00988836470966
120,19.526759137877217,25.847477,4,0.00988836470966
121,19.446459660008212,56.63986,5,0.00988836470966
122,19.527685816027354,13.846102,4,0.00988836470966
123,-10.3635165480166,32.779064,3,0.00988836470966
124,19.53413052512474,42.867756,4,0.00988836470966
125,16.828067575505372,96.54761,14,0.00988836470966
126,16.553018757385836,95.71656,16,0.00988836470966
127,18.450349073629944,55.039032,8,0.00988836470966
128,19.545009202168735,28.01902,4,0.00988836470966
129,19.528717863001926,24.82597,4,0.00988836470966
130,18.99758540898416,40.777092,6,0.00988836470966
131,-16.02246786208576,143.68758,20,0.00988836470966
132,18.04293541229877,61.03705,9,0.00988836470966
133,18.96166621349242,37.42072,6,0.00988836470966
134,18.98682699308329,27.09721,6,0.00988836470966
135,18.968044350322334,33.884686,6,0.00988836470966
136,18.980550820162478,37.612316,6,0.00988836470966
137,18.836549005701897,31.635523,6,0.00988836470966
138,17.155287490118205,78.26906,18,0.00988836470966
139,18.99094406604663,42.7679,6,0.00988836470966
140,-19.292286294788784,116.75153,20,0.00988836470966
141,-12.222973358120088,61.09498,10,0.00988836470966
142,18.83491651211389,30.098394,6,0.00988836470966
143,18.920013640226053,24.321117,6,0.00988836470966
144,18.965310759185005,38.30209,6,0.00988836470966
145,18.976248932118548,27.60273,6,0.00988836470966
146,17.89273981084601,41.03978,9,0.00988836470966
147,-16.514349317023708,48.90989,11,0.00988836470966
148,-24.79161978757929,120.54935,20,0.00988836470966
149,18.659624721772257,25.829475,7,0.00988836470966
150,18.973564040222936,19.843636,6,0.00988836470966
