episode,reward,loss,len,e
43,16.501121790281033,127.051186,26,0.419489654595
44,-10,5.326873,1,0.411099861503
45,-11.310326507621928,102.73606,7,0.402877864273
46,-24.40310233926341,246.07655,32,0.394820306988
47,19.2326041814729,84.267944,7,0.386923900848
48,-17.26906062876163,155.57677,20,0.379185422831
49,-30.808435944180864,248.85011,43,0.371601714375
50,-47.45308297375217,365.8529,50,0.364169680087
51,19.701404722244934,7.6788344,3,0.356886286485
52,-19.054679975255883,130.9531,22,0.349748560756
53,-39.364462113740956,363.7905,50,0.342753589541
54,-10,3.790029,1,0.33589851775
55,-17.77792907621795,140.74422,26,0.329180547395
56,-13.206518345551352,101.6428,13,0.322596936447
57,-32.42920821568703,256.0188,50,0.316144997718
58,-38.76630668390854,238.91719,36,0.309822097764
59,-39.452233625751134,288.08887,50,0.303625655808
60,-23.096133716988017,228.54355,38,0.297553142692
61,18.03700301920172,63.061054,13,0.291602079838
62,-16.301898196429143,123.139244,29,0.285770038242
63,-14.096200053040565,31.387772,10,0.280054637477
64,-17.336014042069852,161.12662,23,0.274453544727
65,-22.216670567079795,308.83228,47,0.268964473833
66,-31.833942972857418,273.08298,50,0.263585184356
67,-20.382746224536916,252.96863,50,0.258313480669
68,-29.351433269438512,255.05235,34,0.253147211055
69,-14.876763466002508,133.30298,21,0.248084266834
70,-39.275249604040354,216.43079,50,0.243122581498
71,17.026454627381796,36.67876,11,0.238260129868
72,-17.25417214788339,126.324135,25,0.23349492727
73,-55.38569325330223,308.94965,50,0.228825028725
74,-23.268288978809146,191.73267,32,0.22424852815
75,-24.9153696210362,148.80663,24,0.219763557587
76,-20.23344873963568,180.32077,50,0.215368286436
77,-17.253830442109518,71.89314,23,0.211060920707
78,-20.069346129360106,201.4154,50,0.206839702293
79,-20.158351066364464,97.58634,30,0.202702908247
80,-19.0793757835834,62.922306,16,0.198648850082
81,-31.288903328187928,280.57278,50,0.19467587308
82,-10,4.101361,1,0.190782355619
83,-18.167962102547108,139.82101,45,0.186966708506
84,-54.5257146517784,233.46977,50,0.183227374336
85,-46.05378874413088,168.2853,50,0.17956282685
86,-23.90646750357996,250.7961,50,0.175971570313
87,-21.48332281661801,241.10033,50,0.172452138906
88,-22.095017708479862,168.75905,40,0.169003096128
89,-23.409048421234957,146.30112,50,0.165623034206
90,-19.503717115667953,78.452065,28,0.162310573522
91,-16.84437972375511,110.98821,33,0.159064362051
92,-39.736103383094715,159.53862,50,0.15588307481
93,-31.565363050039114,131.04347,50,0.152765413314
94,-19.638757067886615,153.40811,50,0.149710105048
95,-16.696291952745906,177.40358,50,0.146715902947
96,-39.946383676113655,107.885056,39,0.143781584888
97,-10,1.9961753,1,0.14090595319
98,-54.38548081670676,203.67104,50,0.138087834126
99,-48.89575221323244,105.31472,50,0.135326077444
100,-36.94835947126647,68.37735,50,0.132619555895
101,-35.49838959230538,135.19249,50,0.129967164777
102,-25.651423189937034,142.17766,50,0.127367821481
103,-27.806056278319396,134.68344,50,0.124820465052
104,-27.36416872326306,88.2133,32,0.122324055751
105,-26.228612023113904,96.55855,49,0.119877574636
106,-33.17596416086211,119.79671,50,0.117480023143
107,-34.513196139313976,70.50761,40,0.11513042268
108,-19.33899470589522,138.32503,50,0.112827814226
109,-12.530269557533334,58.77703,18,0.110571257942
110,-28.444164864213743,108.66609,44,0.108359832783
111,-29.757993845183897,60.176395,30,0.106192636127
112,18.40398500778021,25.049768,11,0.104068783405
113,-12.792224030645759,25.698343,8,0.101987407737
114,20,0.8973423,1,0.0999476595821
115,19.394133869782234,11.99975,4,0.0979487063904
116,19.40184541359086,9.309436,4,0.0959897322626
117,-17.035096290645413,66.12394,12,0.0940699376174
118,-12.108772599859842,33.56202,7,0.092188538865
119,-14.549327136250573,14.745459,7,0.0903447680877
120,-14.173070739003386,28.745598,10,0.088537872726
121,-49.35560517366332,185.85277,50,0.0867671152714
122,-14.53053725640408,20.130579,7,0.085031772966
123,-11.322553704513501,15.680462,7,0.0833311375067
124,-12.567266678699568,41.0918,13,0.0816645147566
125,-13.589118480472452,14.063247,8,0.0800312244614
126,-22.871862484852727,166.0556,50,0.0784305999722
