episode,reward,loss,len,e
0,-11.256916079279462,19.374043,5,1.0
1,-24.133336885131566,124.99893,26,0.98
2,-10.224406370120521,10.063468,2,0.9604
3,-11.872522981471779,53.37514,9,0.941192
4,-13.223211415228363,61.855953,11,0.92236816
5,-14.885742122137113,79.90147,14,0.9039207968
6,-17.09171940566777,85.23811,13,0.885842380864
7,-10.781456667597812,30.845425,5,0.868125533247
8,-11.19458746043389,25.576883,5,0.850763022582
9,-13.246722732145269,36.154774,7,0.83374776213
10,-11.70286796917963,62.51767,8,0.817072806888
11,-17.156215407361763,53.8637,13,0.80073135075
12,-10,7.192682,1,0.784716723735
13,-10.399171388915596,14.697165,2,0.76902238926
14,-15.926754637433024,91.643715,15,0.753641941475
15,-11.807293411270606,33.13311,6,0.738569102645
16,-12.889461839882854,57.803364,10,0.723797720592
17,-14.002137360641893,62.303715,12,0.709321766181
18,-10.542962573472973,23.551233,4,0.695135330857
19,-10.314859096117184,12.383752,2,0.68123262424
20,-20.094865799629254,168.03352,30,0.667607971755
21,-11.81526802437725,55.281193,10,0.65425581232
22,-11.472976804126835,46.42572,8,0.641170696074
23,-14.735502995564637,63.99572,13,0.628347282152
24,-10,14.012953,1,0.615780336509
25,-12.834554378961904,40.09597,6,0.603464729779
26,-11.984434267830308,64.09105,11,0.591395435183
27,-13.470901302315799,64.42502,11,0.57956752648
28,-12.574932142545032,58.70825,11,0.56797617595
29,-15.634323679167885,83.88357,13,0.556616652431
30,-21.689776406316838,142.97324,30,0.545484319382
31,-19.089050806496132,131.6334,30,0.534574632995
32,-17.76913311218558,79.50972,20,0.523883140335
33,-10,5.3607287,1,0.513405477528
34,-10.221359602226915,16.127316,2,0.503137367978
35,-13.726822088040187,45.043285,8,0.493074620618
36,-10.698368850635207,8.6557665,3,0.483213128206
37,-15.660183236916374,90.59811,22,0.473548865642
38,-14.565174197844886,49.113148,14,0.464077888329
39,18.415128335867767,39.974133,14,0.454796330562
40,-19.72436065785253,141.28937,30,0.445700403951
41,-21.354944080242316,156.83922,30,0.436786395872
42,-10.992252968461845,15.524097,5,0.428050667954
43,-11.037934084025444,7.7022467,3,0.419489654595
44,-25.396479544552307,150.78027,30,0.411099861503
45,-12.274341026445278,63.32108,13,0.402877864273
46,-11.58614170089293,46.703552,8,0.394820306988
47,-11.521229942712296,28.892752,8,0.386923900848
48,-10.297349630039932,6.475655,2,0.379185422831
49,-10.099998539748572,5.2716,2,0.371601714375
50,-14.729442884159397,56.882206,17,0.364169680087
51,-18.257576453487665,40.649586,13,0.356886286485
52,-10,3.199408,1,0.349748560756
53,-26.0116873213089,93.10741,26,0.342753589541
54,-25.315252779890468,108.58568,30,0.33589851775
55,-16.54459808897972,78.43217,25,0.329180547395
56,-16.158536938606918,47.862644,14,0.322596936447
57,-10,0.33549812,1,0.316144997718
58,-13.73597523400759,48.01939,13,0.309822097764
59,-14.550950857422087,57.184956,16,0.303625655808
60,-28.17429923705099,90.063255,30,0.297553142692
61,-10.976265720711995,3.719772,5,0.291602079838
62,-15.891887979438057,92.02081,30,0.285770038242
63,-24.485422327672612,134.85771,28,0.280054637477
