episode,reward,loss,len,e
0,-10.760388276254952,24.952566,4,1.0
1,-10,39.196632,1,0.97
2,-10,48.65227,1,0.9409
3,-12.986895755635217,264.2267,10,0.912673
4,-13.187220208277289,151.86465,11,0.88529281
5,-16.933748763461743,112.27503,15,0.8587340257
6,-10.172006977883884,14.938474,2,0.832972004929
7,-11.535779119184177,44.19273,5,0.807982844781
8,-11.02863608780224,67.4591,9,0.783743359438
9,-10.52605527501293,30.79021,4,0.760231058655
10,-13.068986281400743,107.27549,15,0.737424126895
11,-10,8.888226,1,0.715301403088
12,-13.807168642897082,93.5387,13,0.693842360995
13,-12.52686512898505,42.30916,7,0.673027090166
14,-10.141307641914883,15.134374,2,0.652836277461
15,-13.029851193284422,102.039185,13,0.633251189137
16,-10.331974902811346,10.507866,2,0.614253653463
17,-11.194492991482413,51.26246,8,0.595826043859
18,-10.171992567025342,12.58806,2,0.577951262543
19,-11.485387760108804,76.49919,9,0.560612724667
20,-11.24031846892728,29.018986,5,0.543794342927
21,-12.731964523356748,105.264,15,0.527480512639
22,-13.770073598881826,111.57088,15,0.51165609726
23,-11.540321592343808,41.13214,6,0.496306414342
24,-16.386341636284957,114.32696,15,0.481417221912
25,-15.509165170553135,112.27047,15,0.466974705254
26,-13.294547794219055,79.776245,13,0.452965464097
27,19.213894813880803,46.915455,6,0.439376500174
28,-12.32861187375821,133.83551,14,0.426195205169
29,-12.974118809001876,68.43749,8,0.413409349014
30,-16.856416788261885,100.87599,14,0.401007068543
31,-14.589697087080356,107.65365,13,0.388976856487
32,-13.019262952275316,125.4332,15,0.377307550792
33,-14.495235231232922,140.45267,14,0.365988324268
34,-16.561697194622205,119.8876,15,0.35500867454
35,-10.859262928355529,38.627502,8,0.344358414304
36,-11.50145335273957,75.5494,11,0.334027661875
37,-13.333809391035226,68.21871,12,0.324006832019
38,-10.987274080310442,67.71028,8,0.314286627058
39,-11.647481895070813,60.878193,8,0.304858028247
40,-14.60266316235214,99.18025,15,0.295712287399
41,-13.713816540258891,109.9075,15,0.286840918777
42,-15.611610479662556,73.48851,15,0.278235691214
43,-10.173950060755429,8.628003,2,0.269888620477
44,-10.303825387277323,15.41189,3,0.261791961863
45,-17.368061853404463,92.39273,15,0.253938203007
46,-12.553661733757245,78.81366,15,0.246320056917
47,-20.547465271809585,101.27701,15,0.238930455209
48,19.695679923682075,20.40424,3,0.231762541553
49,-13.249549971024745,64.99475,15,0.224809665307
50,-13.60967189436943,90.97324,13,0.218065375347
51,-13.434488312010624,72.6532,15,0.211523414087
52,-15.704875236457177,77.66244,15,0.205177711664
53,-16.300688112634774,111.328514,14,0.199022380314
54,-19.06493686282841,144.56345,15,0.193051708905
55,-19.23490464402883,119.49577,15,0.187260157638
56,-14.485931837125612,108.905846,15,0.181642352909
57,-10.82743439001554,36.329742,4,0.176193082321
58,-17.29071420542325,156.19925,15,0.170907289852
59,-12.125196499778642,114.56617,15,0.165780071156
60,-14.314309454719886,111.75884,15,0.160806669022
61,-16.919782040206663,70.90831,15,0.155982468951
62,-12.252269281701203,87.4097,15,0.151302994882
63,-12.589694136339745,139.53575,15,0.146763905036
64,-13.217204714203874,86.803566,15,0.142360987885
65,-18.484994825494052,97.42103,15,0.138090158248
66,-19.588174640676726,112.176796,15,0.133947453501
67,-13.004704117075276,105.87044,15,0.129929029896
68,-12.53634252187867,94.33234,15,0.126031158999
69,-16.97977484402704,105.72487,15,0.122250224229
70,18.953343116019514,48.83925,7,0.118582717502
71,-10.4193653679575,28.98814,3,0.115025235977
